ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
1,hide,,,,,世界从未安静过。,,,,"chaptercard(序曲,失谐,2.0)",
2,hide,,,,,每一种情绪，都有它的频率。,,,,,
3,hide,,,,,愤怒是低沉的轰鸣，悲伤是绵长的呜咽，焦虑是无序的杂音……,,,,,
4,hide,,,,,当这些声音汇聚在一起，就成了这座城市的底色。,,,,,
5,hide,,,,,而我们，是一支特殊的乐队。,,,,,
6,hide,,,,,我们的工作，是为这个失谐的世界，重新调音。,,,,,
7,hide,,,,,冷夜。,,,,"chaptercard(第一章,未署名的求救信号,2.0)
&bgfade(prelude_01,2)",
8,hide,,,,,今夜的城市，依旧灯火通明。,prelude_01,,,,
9,hide,,,,,晚风从高楼之间穿过，带着这座城市特有的频率——一种混杂着喧嚣与孤独的白噪音。,prelude_01,,,,
10,hide,,,,,此刻，在这座城市的最高处，一个废弃的电视塔观景台，一名少女默默站在栏杆旁。她戴着巨大的监听耳机，手里拿着一个平板电脑，屏幕上跳动着复杂的音频波形图。,prelude_01,,,,
11,？？？,,,,,不对……这条波形的衰减曲线太奇怪了。不像是普通的悲伤，更像是……卡住了？像一个坏掉的齿轮，在原地疯狂空转。,,,,"bgfade(prelude_02,2)",
12,？？？,,,,,喂，老K，帮我查一下这个信号的来源坐标。经纬度都发你了，就在东区那片旧工业区。,prelude_02,,,,
13,老K,,,,,收到了，林队。呦，这地方……有点意思。是一家已经倒闭了三年的心理康复诊所。档案上说，老板跑路那天，还把所有的病例资料和音乐治疗设备都锁在了地下室里。,prelude_02,,,,
14,“林队”,,,,,音乐治疗设备？看来不是巧合。把地址发给我，我去叫醒另外两个懒鬼。,prelude_02,,,,
15,hide,,,,,少女摘下一边耳机，转身走向观景台中央。那里摆着几件被防雨布盖着的乐器轮廓。,prelude_02,,,,
16,hide,,,,,她掀开一块防雨布，露出一台造型复古却布满改装线路的合成器。,prelude_02,,,,
17,“林队”,,,,,开工了，伙计们。有个迷路的灵魂，需要我们帮忙调一下频。,,,,"bgfade(prelude_03,2)",
18,hide,,,,,电视塔顶，三个模糊的身影正在收拾装备。城市的霓虹灯光在他们身后拉出长长的剪影。,,,,"bgfade(prelude_04,2)",
19,hide,,,,,阴暗、潮湿。空气中弥漫着灰尘和铁锈的味道。墙角堆满了倾倒的文件柜和破碎的奖杯。唯一的光源是从高窗射入的一束月光。,,,,"bgfade(prelude_05,2,2,2)",
20,hide,,,,,门被一脚踹开。一个穿着宽大卫衣、兜帽压得很低的男生背着吉他箱率先走进来。他环顾四周，吹了声口哨。,prelude_05,,,,
21,？？？,,,,,哇哦，恐怖片经典开场。下一步是不是该有个窗户自己关上了？,prelude_05,,,,
22,hide,,,,,跟在他身后的短发女生忍不住翻了个白眼，手里拿着一根改装过的天线探测器。,prelude_05,,,,
23,？？？,,,,,闭嘴吧阿哲，你那张嘴比这里的霉味还让人难受……嗯，信号源显示就在这面墙后面。,prelude_05,,,,
24,hide,,,,,她走到一面斑驳的墙壁前，用手指敲了敲。,,,,"bgfade(prelude_06,2)",
25,？？？,,,,,空心墙。后面有夹层。,,,,,
26,阿哲,,,,,看来，我们又要当一回拆迁队了。,,,,,
27,“林队”,,,,,小满，在墙上标注一下大概位置，之后交给“幽灵”就好。,,,,,
28,小满,,,,,唔，让我看看……Ok，搞定！,,,,,
29,hide,,,,,她的话音刚落，站在她身后不远处的一个墨镜男走上前，默默地从背包里掏出一把小型电镐，对准墙面。,,,,,
30,“林队”,,,,,这次稍微温柔点，别像上次那样把里面的东西震坏了。,,,,"bgfade(prelude_07,2)",
31,hide,,,,,幽灵没说话，但下手的力道明显轻了几分。随着墙皮剥落，一扇隐藏的保险柜门露了出来。门上没有密码锁，只有一个老式的唱片机唱针接口。,,,,,
32,hide,,,,,阿哲凑上前去，好奇地打量着。,,,,,
33,阿哲,,,,,这是什么邪典机关？放首歌才能打开？,,,,,
34,hide,,,,,这时，队长走上前，从口袋里拿出一个MP3播放器，连接到唱针接口。,,,,,
35,“林队”,,,,,不，是需要一段正确的旋律来解锁。,,,,,
36,hide,,,,,她按下播放键。一阵清澈、简单却莫名忧伤的八音盒旋律流淌出来。,,,,,
37,hide,,,,,伴随着八音盒清脆的“叮——”声，保险柜内部发出一声沉闷的机械解锁声。,,,,,
38,hide,,,,,紧接着，不是预想中的开门声，而是一阵令人牙酸的金属撕裂声。,,,,,
39,hide,,,,,浓稠的黑色雾气如同高压锅泄气般从门缝里喷涌而出。原本微弱的冷光被迅速吞噬，紧接着地下室的温度骤降。,,,,,
40,,,,,,123123,,,,,
41,,,,,,,,,,,
42,,,,,,,,,,,
43,,,,,,,,,,,
44,,,,,,,,,,,
45,,,,,,,,,,,
46,,,,,,,,,,,
